group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
base,22,Flow 2,77.0,20.398,0.119
base,22,Flow 3,31.0,7.904,0.36
base,22,Flow 4,9.8,7.048,0.472
base,22,Flow 5,39.0,8.8,0.321
base,22,Flow 6,14.0,4.43,0.453
base,22,Flow 7,68.0,13.389,0.166
base,22,Flow 8,9.1,4.797,0.476
base,22,Flow 9,26.0,3.622,0.389
base,22,Burst Flows,33.550000000000004,20.9755,1.0605999999999998
base,23,Flow 1,53.0,10.529,0.234
base,23,Flow 2,32.0,8.625,0.34
base,23,Flow 3,4.5,7.652,0.477
base,23,Flow 4,5.0,7.795,0.474
base,23,Flow 5,4.3,7.194,0.477
base,23,Flow 6,68.0,14.166,0.16
base,23,Flow 7,63.0,12.491,0.184
base,23,Flow 8,19.0,7.789,0.405
base,23,Flow 9,10.0,7.848,0.447
base,23,Burst Flows,31.0,7.479,1.1019999999999999
base,24,Flow 1,0.57,1.918,0.473
base,24,Flow 2,9.6,1.369,0.43
base,24,Flow 3,33.0,8.763,0.32
base,24,Flow 4,2.8,7.27,0.462
base,24,Flow 5,34.0,8.806,0.315
base,24,Flow 6,0.57,1.009,0.474
base,24,Flow 7,65.0,14.099,0.165
base,24,Flow 8,66.0,14.43,0.161
base,24,Flow 9,47.0,10.416,0.253
base,24,Burst Flows,28.935,13.505833333333333,1.0913
base,25,Flow 1,24.0,8.567,0.362
base,25,Flow 2,3.8,7.221,0.457
base,25,Flow 3,41.0,9.591,0.278
base,25,Flow 4,20.0,8.582,0.378
base,25,Flow 5,42.0,9.75,0.276
base,25,Flow 6,7.4,7.51,0.44
base,25,Flow 7,0.16,7.745,0.474
base,25,Flow 8,91.0,112.971,0.039
base,25,Flow 9,0.082,7.005,0.475
base,25,Burst Flows,28.3,7.074333333333333,1.1029
base,26,Flow 1,3.9,1.094,0.48
base,26,Flow 2,0.9,1.861,0.495
base,26,Flow 3,71.0,8.773,0.143
base,26,Flow 4,64.0,7.126,0.18
base,26,Flow 5,65.0,7.369,0.172
base,26,Flow 6,0.2,4.699,0.499
