group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
l2,17,Flow 4,8.1,2.877,0.474
l2,17,Flow 5,2.6,2.415,0.51
l2,17,Flow 6,61.0,5.249,0.206
l2,17,Flow 7,73.0,6.339,0.142
l2,17,Flow 8,92.0,157.291,0.0338
l2,17,Flow 9,20.0,4.579,0.421
l2,17,Burst Flows,24.02333333333333,8.083666666666668,1.2059
l2,18,Flow 1,2.1,2.582,0.512
l2,18,Flow 2,3.1,4.044,0.507
l2,18,Flow 3,62.0,4.687,0.197
l2,18,Flow 4,61.0,5.045,0.202
l2,18,Flow 5,67.0,5.43,0.175
l2,18,Flow 6,56.0,4.618,0.231
l2,18,Flow 7,5.1,4.099,0.497
l2,18,Flow 8,2.1,1.439,0.512
l2,18,Flow 9,2.7,1.284,0.509
l2,18,Burst Flows,51.38333333333333,10.748666666666667,0.7737
l2,19,Flow 1,77.0,14.714,0.119
l2,19,Flow 2,3.6,4.808,0.504
l2,19,Flow 3,49.0,4.645,0.264
l2,19,Flow 4,15.0,4.241,0.442
l2,19,Flow 5,63.0,4.907,0.194
l2,19,Flow 6,10.0,4.001,0.47
l2,19,Flow 7,10.0,4.233,0.469
l2,19,Flow 8,34.0,4.515,0.344
l2,19,Flow 9,4.6,4.581,0.499
l2,19,Burst Flows,27.926666666666666,19.482499999999998,1.1424
l2,20,Flow 1,11.0,5.19,0.464
l2,20,Flow 2,34.0,4.838,0.345
l2,20,Flow 3,31.0,4.053,0.359
l2,20,Flow 4,51.0,4.448,0.256
l2,20,Flow 5,16.0,4.314,0.441
l2,20,Flow 6,64.0,5.073,0.187
l2,20,Flow 7,44.0,4.775,0.292
l2,20,Flow 8,22.0,4.514,0.411
l2,20,Flow 9,3.3,4.754,0.506
l2,20,Burst Flows,22.46666666666667,33.755500000000005,1.2265
