group,iteration,flow,loss_pct,jitter_ms,bandwidth_mbps
predictive,17,Flow 8,3.9,24.473,0.483
predictive,17,Flow 9,11.0,17.336,0.449
predictive,17,Burst Flows,10.39,24.74683333333333,1.428
predictive,18,Flow 1,6.6,12.722,0.49
predictive,18,Flow 2,7.4,21.848,0.486
predictive,18,Flow 3,30.0,22.788,0.366
predictive,18,Flow 4,23.0,22.311,0.402
predictive,18,Flow 5,15.0,22.743,0.443
predictive,18,Flow 6,13.0,24.528,0.457
predictive,18,Flow 7,8.0,8.668,0.483
predictive,18,Flow 8,7.2,9.855,0.487
predictive,18,Flow 9,7.0,7.689,0.488
predictive,18,Burst Flows,16.383333333333333,16.5455,1.326
predictive,19,Flow 1,9.7,13.136,0.473
predictive,19,Flow 2,10.0,16.362,0.469
predictive,19,Flow 3,7.2,14.874,0.485
predictive,19,Flow 4,6.1,15.739,0.494
predictive,19,Flow 5,18.0,12.902,0.432
predictive,19,Flow 6,13.0,23.267,0.456
predictive,19,Flow 7,9.3,21.669,0.477
predictive,19,Flow 8,9.0,19.444,0.478
predictive,19,Flow 9,30.0,12.499,0.372
predictive,19,Burst Flows,18.750000000000004,28.304500000000004,1.2880000000000003
predictive,20,Flow 1,1.6,2.903,0.516
predictive,20,Flow 2,3.4,5.55,0.506
predictive,20,Flow 3,8.5,28.852,0.478
predictive,20,Flow 4,38.0,22.917,0.314
predictive,20,Flow 5,33.0,26.489,0.352
predictive,20,Flow 6,23.0,26.203,0.403
predictive,20,Flow 7,7.1,18.298,0.488
predictive,20,Flow 8,14.0,20.631,0.435
predictive,20,Flow 9,3.5,5.149,0.487
predictive,20,Burst Flows,5.431666666666666,10.506833333333335,1.3339999999999999
predictive,21,Flow 1,2.4,26.925,0.489
predictive,21,Flow 2,10.0,38.127,0.448
predictive,21,Flow 3,12.0,14.446,0.442
predictive,21,Flow 4,26.0,49.046,0.371
predictive,21,Flow 5,9.9,51.111,0.451
predictive,21,Flow 6,4.4,28.207,0.479
predictive,21,Flow 7,19.0,40.048,0.408
predictive,21,Flow 8,7.3,14.824,0.464
predictive,21,Flow 9,4.2,12.687,0.48
predictive,21,Burst Flows,17.150000000000002,43.95433333333333,1.136
predictive,22,Flow 1,0.0,0.039,0.477
predictive,22,Flow 2,2.4,29.784,0.465
predictive,22,Flow 3,24.0,26.097,0.361
predictive,22,Flow 4,12.0,15.677,0.419
predictive,22,Flow 5,16.0,25.672,0.4
predictive,22,Flow 6,0.0,0.02,0.477
predictive,22,Flow 7,21.0,22.361,0.376
predictive,22,Flow 8,54.0,19.252,0.22
predictive,22,Flow 9,1.9,24.963,0.468
predictive,22,Burst Flows,11.358333333333334,5.2909999999999995,1.2108999999999999
predictive,23,Flow 1,33.0,42.932,0.319
predictive,23,Flow 2,0.0,0.017,0.478
predictive,23,Flow 3,0.0,0.021,0.478
predictive,23,Flow 4,2.0,45.157,0.467
predictive,23,Flow 5,18.0,33.055,0.394
